birthdate,ceremony_number,award,biourl,movie,person
1902/7/1,15th,Best Director,http://www.nndb.com/people/463/000032367/,Mrs. Miniver,William Wyler
5/26/1887,16th,Best Actor,http://www.nndb.com/people/713/000042587/,Watch on the Rhine,Paul Lukas
1919/3/2,16th,Best Actress,http://www.nndb.com/people/809/000063620/,The Song of Bernadette,Jennifer Jones
12/24/1886,16th,Best Director,http://www.nndb.com/people/676/000032580/,Casablanca,Michael Curtiz
1903/5/3,17th,Best Actor,http://www.nndb.com/people/651/000026573/,Going My Way,Bing Crosby
1915/8/29,17th,Best Actress,http://www.nndb.com/people/836/000024764/,Gaslight,Ingrid Bergman
10/3/1898,17th,Best Director,http://www.nndb.com/people/380/000044248/,Going My Way,Leo McCarey
1907/1/3,18th,Best Actor,http://www.nndb.com/people/814/000042688/,The Lost Weekend,Ray Milland
1905/3/23,18th,Best Actress,http://www.nndb.com/people/837/000031744/,Mildred Pierce,Joan Crawford
1906/6/22,18th,Best Director,http://www.nndb.com/people/982/000024910/,The Lost Weekend,Billy Wilder
8/31/1897,19th,Best Actor,http://www.nndb.com/people/255/000043126/,The Best Years of Our Lives,Fredric March
1916/7/1,19th,Best Actress,http://www.nndb.com/people/741/000022675/,To Each His Own,Olivia de Havilland
1902/7/1,19th,Best Director,http://www.nndb.com/people/463/000032367/,The Best Years of Our Lives,William Wyler
2/9/1891,20th,Best Actor,http://www.nndb.com/people/619/000042493/,A Double Life,Ronald Colman
1913/1/6,20th,Best Actress,http://www.nndb.com/people/089/000031993/,The Farmer's Daughter,Loretta Young
1909/9/7,20th,Best Director,http://www.nndb.com/people/537/000026459/,Gentleman's Agreement,Elia Kazan
1907/5/22,21st,Best Actor,http://www.nndb.com/people/607/000022541/,Hamlet,Laurence Olivier
1917/1/5,21st,Best Actress,http://www.nndb.com/people/656/000022590/,Johnny Belinda,Jane Wyman
1906/8/5,21st,Best Director,http://www.nndb.com/people/704/000024632/,The Treasure of the Sierra Madre,John Huston
1909/12/11,22nd,Best Actor,http://www.nndb.com/people/744/000063555/,All The King's Men,Broderick Crawford
1916/7/1,22nd,Best Actress,http://www.nndb.com/people/741/000022675/,The Heiress,Olivia de Havilland
1909/2/11,22nd,Best Director,http://www.nndb.com/people/723/000032627/,A Letter to Three Wives,Joseph L. Mankiewicz
1909/1/8,23rd,Best Actor,http://www.nndb.com/people/311/000026233/,Cyrano de Bergerac,Jose Ferrer
1921/6/21,23rd,Best Actress,http://www.nndb.com/people/808/000063619/,Born Yesterday,Judy Holliday
1909/2/11,23rd,Best Director,http://www.nndb.com/people/723/000032627/,All About Eve,Joseph L. Mankiewicz
12/25/1899,24th,Best Actor,http://www.nndb.com/people/837/000024765/,The Africa Queen,Humphrey Bogart
1913/11/5,24th,Best Actress,http://www.nndb.com/people/470/000022404/,A Streetcar Named Desire,Vivien Leigh
1904/12/18,24th,Best Director,http://www.nndb.com/people/382/000044250/,A Place in the Sun,George Stevens
1901/5/7,25th,Best Actor,http://www.nndb.com/people/740/000031647/,High Noon,Gary Cooper
8/30/1898,25th,Best Actress,http://www.nndb.com/people/807/000063618/,"Come Back, Little Sheba",Shirley Booth
2/1/1894,25th,Best Director,http://www.nndb.com/people/458/000032362/,The Quiet Man,John Ford
1918/4/17,26th,Best Actor,http://www.nndb.com/people/210/000022144/,Stalag 17,William Holden
1929/5/4,26th,Best Actress,http://www.nndb.com/people/933/000026855/,Roman Holiday,Audrey Hepburn
1907/4/29,26th,Best Director,http://www.nndb.com/people/538/000032442/,From Here to Eternity,Fred Zinnemann
1924/4/3,27th,Best Actor,http://www.nndb.com/people/721/000022655/,On the Waterfront,Marlon Brando
1929/11/12,27th,Best Actress,http://www.nndb.com/people/770/000025695/,The Country Girl,Grace Kelly
1909/9/7,27th,Best Director,http://www.nndb.com/people/537/000026459/,On the Waterfront,Elia Kazan
1917/1/24,28th,Best Actor,http://www.nndb.com/people/730/000022664/,Marty,Ernest Borgnine
1908/3/7,28th,Best Actress,http://www.nndb.com/people/806/000063617/,The Rose Tattoo,Anna Magnani
1920/1/30,28th,Best Director,http://www.nndb.com/people/384/000044252/,Marty,Delbert Mann
1920/7/11,29th,Best Actor,http://www.nndb.com/people/459/000026381/,The King and I,Yul Brynner
1915/8/29,29th,Best Actress,http://www.nndb.com/people/836/000024764/,Anastasia,Ingrid Bergman
1904/12/18,29th,Best Director,http://www.nndb.com/people/382/000044250/,Giant,George Stevens
1914/4/2,30th,Best Actor,http://www.nndb.com/people/751/000023682/,The Bridge on the River Kwai,Alec Guinness
1930/2/27,30th,Best Actress,http://www.nndb.com/people/747/000043618/,The Three Faces of Eve,Joanne Woodward
1908/3/25,30th,Best Director,http://www.nndb.com/people/462/000032366/,The Bridge on the River Kwai,David Lean
1909/3/1,31st,Best Actor,http://www.nndb.com/people/690/000031597/,Separate Tables,David Niven
1918/6/20,31st,Best Actress,http://www.nndb.com/people/805/000063616/,I Want To Live!,Susan Hayward
1903/2/28,31st,Best Director,http://www.nndb.com/people/825/000032729/,Gigi,Vincente Minnelli
1923/10/4,32nd,Best Actor,http://www.nndb.com/people/961/000022895/,Ben-hur,Charlton Heston
1921/3/25,32nd,Best Actress,http://www.nndb.com/people/804/000063615/,Room at the Top,Simone Signoret
1902/7/1,32nd,Best Director,http://www.nndb.com/people/463/000032367/,Ben-Hur,William Wyler
1913/11/2,33rd,Best Actor,http://www.nndb.com/people/938/000031845/,Elmer Gantry,Burt Lancaster
1932/2/27,33rd,Best Actress,http://www.nndb.com/people/624/000023555/,Butterfield 8,Elizabeth Taylor
1906/6/22,33rd,Best Director,http://www.nndb.com/people/982/000024910/,The Apartment,Billy Wilder
1914/9/10,34th,Best Director,http://www.nndb.com/people/460/000032364/,West Side Story,Robert Wise
1930/12/8,34th,Best Actor,http://www.nndb.com/people/351/000023282/,Judgement at Nuremberg,Maximilian Schell
1934/9/20,34th,Best Actress,http://www.nndb.com/people/811/000023742/,Two Women,Sophia Loren
1918/10/11,34th,Best Director,http://www.nndb.com/people/281/000064089/,West Side Story,Jerome Robbins
1916/4/5,35th,Best Actor,http://www.nndb.com/people/774/000023705/,To Kill a Mockingbird,Gregory Peck
1931/9/17,35th,Best Actress,http://www.nndb.com/people/439/000023370/,The Miracle Worker,Anne Bancroft
1908/3/25,35th,Best Director,http://www.nndb.com/people/462/000032366/,Lawrence of Arabia,David Lean
1927/2/20,36th,Best Actor,http://www.nndb.com/people/200/000023131/,Lilies of the Field,Sidney Poitier
1926/1/26,36th,Best Actress,http://www.nndb.com/people/226/000042100/,Hud,Patricia Neal
1928/6/5,36th,Best Director,http://www.nndb.com/people/249/000043120/,Tom Jones,Tony Richardson
1908/3/5,37th,Best Actor,http://www.nndb.com/people/132/000043003/,My Fair Lady,Rex Harrison
1935/10/1,37th,Best Actress,http://www.nndb.com/people/874/000023805/,Mary Poppins,Julie Andrews
7/7/1899,37th,Best Director,http://www.nndb.com/people/373/000041250/,My Fair Lady,George Cukor
1924/2/19,38th,Best Actor,http://www.nndb.com/people/314/000026236/,Cat Ballou,Lee Marvin
1941/4/14,38th,Best Actress,http://www.nndb.com/people/801/000063612/,Darling,Julie Christie
1914/9/10,38th,Best Director,http://www.nndb.com/people/460/000032364/,The Sound of Music,Robert Wise
1922/1/21,39th,Best Actor,http://www.nndb.com/people/950/000033851/,A Man For All Seasons,Paul Scofield
1932/2/27,39th,Best Actress,http://www.nndb.com/people/624/000023555/,Who's Afraid of Virginia Woolf?,Elizabeth Taylor
1907/4/29,39th,Best Director,http://www.nndb.com/people/538/000032442/,A Man for All Seasons,Fred Zinnemann
1925/4/14,40th,Best Actor,http://www.nndb.com/people/762/000026684/,In the Heat of the Night,Rod Steiger
1907/5/12,40th,Best Actress,http://www.nndb.com/people/775/000023706/,Guess Who's Coming to Dinner,Katharine Hepburn
1931/11/6,40th,Best Director,http://www.nndb.com/people/455/000023386/,The Graduate,Mike Nichols
1923/9/9,41st,Best Actor,http://www.nndb.com/people/134/000023065/,Charly,Cliff Robertson
1942/4/24,41st,Best Actress,http://www.nndb.com/people/526/000022460/,Funny Girl,Barbra Streisand
1907/5/12,41st,Best Actress,http://www.nndb.com/people/775/000023706/,The Lion in Winter,Katharine Hepburn
1906/12/30,41st,Best Director,http://www.nndb.com/people/290/000064098/,Oliver!,Carol Reed
1926/2/16,42nd,Best Director,http://www.nndb.com/people/771/000032675/,Midnight Cowboy,John Schlesinger
1907/5/26,42nd,Best Actor,http://www.nndb.com/people/605/000023536/,True Grit,John Wayne
1934/12/28,42nd,Best Actress,http://www.nndb.com/people/260/000030170/,The Prime of Miss Jean Brodie,Maggie Smith
1920/5/30,43rd,Best Director,http://www.nndb.com/people/509/000032413/,Patton,Franklin J. Schaffner
1927/10/18,43rd,Best Actor,http://www.nndb.com/people/025/000022956/,Patton,George C. Scott
1936/5/9,43rd,Best Actress,http://www.nndb.com/people/799/000063610/,Women in Love,Glenda Jackson
1930/1/30,44th,Best Actor,http://www.nndb.com/people/878/000022812/,The French Connection,Gene Hackman
1937/12/21,44th,Best Actress,http://www.nndb.com/people/637/000022571/,Klute,Jane Fonda
1935/8/29,44th,Best Director,http://www.nndb.com/people/112/000024040/,The French Connection,William Friedkin
1924/4/3,45th,Best Actor,http://www.nndb.com/people/721/000022655/,The Godfather,Marlon Brando
1946/3/12,45th,Best Actress,http://www.nndb.com/people/724/000024652/,Cabaret,Liza Minnelli
1927/6/23,45th,Best Director,http://www.nndb.com/people/159/000032063/,Cabaret,Bob Fosse
1921/12/20,46th,Best Director,http://www.nndb.com/people/783/000032687/,The Sting,George Roy Hill
1925/2/8,46th,Best Actor,http://www.nndb.com/people/714/000026636/,Save the Tiger,Jack Lemmon
1936/5/9,46th,Best Actress,http://www.nndb.com/people/799/000063610/,A Touch of Class,Glenda Jackson
1918/11/4,47th,Best Actor,http://www.nndb.com/people/182/000025107/,Harry and Tonto,Art Carney
1932/12/7,47th,Best Actress,http://www.nndb.com/people/650/000023581/,Alice Doesn't Live Here Anymore,Ellen Burstyn
1939/4/7,47th,Best Director,http://www.nndb.com/people/866/000022800/,The Godfather Part II,Francis Ford Coppola
1937/4/22,48th,Best Actor,http://www.nndb.com/people/722/000022656/,One Flew Over the Cuckoo's Nest,Jack Nicholson
1934/7/22,48th,Best Actress,http://www.nndb.com/people/798/000063609/,One Flew Over the Cuckoo's Nest,Louise Fletcher
1932/2/18,48th,Best Director,http://www.nndb.com/people/622/000023553/,One Flew over the Cuckoo's Nest,Milos Forman
1935/12/21,49th,Best Director,http://www.nndb.com/people/679/000032583/,Rocky,John G. Avildsen
1916/9/28,49th,Best Actor,http://www.nndb.com/people/745/000063556/,Network,Peter Finch
1941/1/14,49th,Best Actress,http://www.nndb.com/people/884/000022818/,Network,Faye Dunaway
1947/10/29,50th,Best Actor,http://www.nndb.com/people/814/000022748/,The Goodbye Girl,Richard Dreyfuss
1946/1/5,50th,Best Actress,http://www.nndb.com/people/879/000022813/,Annie Hall,Diane Keaton
1935/12/1,50th,Best Director,http://www.nndb.com/people/501/000022435/,Annie Hall,Woody Allen
1938/12/29,51st,Best Actor,http://www.nndb.com/people/060/000023988/,Coming Home,Jon Voight
1937/12/21,51st,Best Actress,http://www.nndb.com/people/637/000022571/,Coming Home,Jane Fonda
1939/2/3,51st,Best Director,http://www.nndb.com/people/810/000043681/,The Deer Hunter,Michael Cimino
1937/8/8,52nd,Best Actor,http://www.nndb.com/people/882/000022816/,Kramer vs. Kramer,Dustin Hoffman
1946/11/6,52nd,Best Actress,http://www.nndb.com/people/897/000022831/,Norma Rae,Sally Field
1932/9/29,52nd,Best Director,http://www.nndb.com/people/267/000064075/,Kramer vs. Kramer,Robert Benton
1936/8/18,53rd,Best Director,http://www.nndb.com/people/795/000022729/,Ordinary People,Robert Redford
1943/8/17,53rd,Best Actor,http://www.nndb.com/people/765/000023696/,Raging Bull,Robert De Niro
1949/12/25,53rd,Best Actress,http://www.nndb.com/people/758/000023689/,Coal Miner's Daughter,Sissy Spacek
1937/3/30,54th,Best Director,http://www.nndb.com/people/719/000022653/,Reds,Warren Beatty
1905/5/16,54th,Best Actor,http://www.nndb.com/people/496/000026418/,On Golden Pond,Henry Fonda
1907/5/12,54th,Best Actress,http://www.nndb.com/people/775/000023706/,On Golden Pond,Katharine Hepburn
1923/8/29,55th,Best Director,http://www.nndb.com/people/750/000023681/,Gandhi,Richard Attenborough
1943/12/31,55th,Best Actor,http://www.nndb.com/people/519/000024447/,Gandhi,Ben Kingsley
1949/6/22,55th,Best Actress,http://www.nndb.com/people/001/000024926/,Sophie's Choice,Meryl Streep
1940/5/9,56th,Best Director,http://www.nndb.com/people/209/000024137/,Terms of Endearment,James L. Brooks
1931/1/5,56th,Best Actor,http://www.nndb.com/people/008/000022939/,Tender Mercies,Robert Duvall
1934/4/24,56th,Best Actress,http://www.nndb.com/people/799/000023730/,Terms of Endearment,Shirley MacLaine
1939/10/24,57th,Best Actor,http://www.nndb.com/people/123/000024051/,Amadeus,F. Murray Abraham
1946/11/6,57th,Best Actress,http://www.nndb.com/people/897/000022831/,Places in the Heart,Sally Field
1932/2/18,57th,Best Director,http://www.nndb.com/people/622/000023553/,Amadeus,Milos Forman
1950/3/20,58th,Best Actor,http://www.nndb.com/people/683/000023614/,Kiss of the Spider Woman,William Hurt
1924/11/22,58th,Best Actress,http://www.nndb.com/people/780/000043651/,The Trip to Bountiful,Geraldine Page
1934/7/1,58th,Best Director,http://www.nndb.com/people/772/000023703/,Out of Africa,Sydney Pollack
1925/1/26,59th,Best Actor,http://www.nndb.com/people/804/000022738/,The Color of Money,Paul Newman
1965/8/24,59th,Best Actress,http://www.nndb.com/people/870/000023801/,Children of a Lesser God,Marlee Matlin
1944/9/25,60th,Best Actor,http://www.nndb.com/people/614/000024542/,Wall Street,Michael Douglas
1946/5/20,60th,Best Actress,http://www.nndb.com/people/688/000022622/,Moonstruck,Cher
1941/3/16,60th,Best Director,http://www.nndb.com/people/268/000024196/,The Last Emperor,Bernardo Bertolucci
1937/9/8,61st,Best Actor,http://www.nndb.com/people/882/000022816/,Rainman,Dustin Hoffman
1962/11/19,61st,Best Actress,http://www.nndb.com/people/756/000023687/,The Accused,Jodie Foster
1942/4/6,61st,Best Director,http://www.nndb.com/people/748/000023679/,Rain Man,Barry Levinson
1957/4/29,62nd,Best Actor,http://www.nndb.com/people/788/000022722/,My Left Foot,Daniel Day-Lewis
1909/6/7,62nd,Best Actress,http://www.nndb.com/people/017/000023945/,Driving Miss Daisy,Jessica Tandy
1946/9/15,59th,Best Director,http://www.nndb.com/people/545/000022479/,Platoon,Oliver Stone
1946/9/15,62nd,Best Director,http://www.nndb.com/people/545/000022479/,Born on the Fourth of July,Oliver Stone
1948/9/19,63rd,Best Actor,http://www.nndb.com/people/594/000023525/,Reversal of Fortune,Jeremy Irons
1948/6/28,63rd,Best Actress,http://www.nndb.com/people/907/000024835/,Misery,Kathy Bates
1955/1/18,63rd,Best Director,http://www.nndb.com/people/758/000022692/,Dances with Wolves,Kevin Costner
1937/12/31,64th,Best Actor,http://www.nndb.com/people/005/000023933/,Silence of the Lambs,Anthony Hopkins
1962/11/19,64th,Best Actress,http://www.nndb.com/people/756/000023687/,The Silence of the Lambs,Jodie Foster
1944/2/22,64th,Best Director,http://www.nndb.com/people/578/000024506/,The Silence of the Lambs,Jonathan Demme
1940/4/25,65th,Best Actor,http://www.nndb.com/people/880/000022814/,Scent of a Woman,Al Pacino
1959/4/15,65th,Best Actress,http://www.nndb.com/people/627/000025552/,Howards End,Emma Thompson
1930/5/31,65th,Best Director,http://www.nndb.com/people/849/000022783/,Unforgiven,Clint Eastwood
1956/7/9,66th,Best Actor,http://www.nndb.com/people/687/000022621/,Philadelphia,Tom Hanks
1958/3/20,66th,Best Actress,http://www.nndb.com/people/566/000023497/,The Piano,Holly Hunter
1946/12/18,66th,Best Director,http://www.nndb.com/people/734/000022668/,Schindler's List,Steven Spielberg
1956/7/9,67th,Best Actor,http://www.nndb.com/people/687/000022621/,Forrest Gump,Tom Hanks
1949/4/20,67th,Best Actress,http://www.nndb.com/people/004/000022935/,Blue Sky,Jessica Lange
1952/5/14,67th,Best Director,http://www.nndb.com/people/224/000025149/,Forrest Gump,Robert Zemeckis
1964/1/7,68th,Best Actor,http://www.nndb.com/people/751/000022685/,Leaving Las Vegas,Nicolas Cage
1946/10/4,68th,Best Actress,http://www.nndb.com/people/762/000024690/,Dead Man Walking,Susan Sarandon
1956/1/3,68th,Best Director,http://www.nndb.com/people/583/000022517/,Braveheart,Mel Gibson
1951/7/6,69th,Best Actor,http://www.nndb.com/people/126/000025051/,Shine,Geoffrey Rush
1937/4/22,70th,Best Actor,http://www.nndb.com/people/722/000022656/,As Good as It Gets,Jack Nicholson
1957/6/23,69th,Best Actress,http://www.nndb.com/people/517/000025442/,Fargo,Frances McDormand
1954/1/6,69th,Best Director,http://www.nndb.com/people/513/000032417/,The English Patient,Anthony Minghella
1963/6/15,70th,Best Actress,http://www.nndb.com/people/554/000023485/,As Good As It Gets,Helen Hunt
1954/8/16,70th,Best Director,http://www.nndb.com/people/385/000025310/,Titanic,James Cameron
1952/10/27,71st,Best Actor,http://www.nndb.com/people/259/000025184/,Life is Beautiful,Roberto Benigni
1972/9/27,71st,Best Actress,http://www.nndb.com/people/592/000023523/,Shakespeare in Love,Gwyneth Paltrow
1946/12/18,71st,Best Director,http://www.nndb.com/people/734/000022668/,Saving Private Ryan,Steven Spielberg
1959/7/26,72nd,Best Actor,http://www.nndb.com/people/591/000023522/,American Beauty,Kevin Spacey
1974/7/30,72nd,Best Actress,http://www.nndb.com/people/333/000026255/,Boys Don't Cry,Hilary Swank
1965/8/1,72nd,Best Director,http://www.nndb.com/people/059/000025981/,American Beauty,Sam Mendes
1964/4/7,73rd,Best Actor,http://www.nndb.com/people/782/000022716/,Gladiator,Russell Crowe
1967/10/28,73rd,Best Actress,http://www.nndb.com/people/592/000022526/,Erin Brockovich,Julia Roberts
1963/1/14,73rd,Best Director,http://www.nndb.com/people/907/000025832/,Traffic,Steven Soderbergh
1954/12/28,74th,Best Actor,http://www.nndb.com/people/665/000023596/,Training Day,Denzel Washington
1966/8/14,74th,Best Actress,http://www.nndb.com/people/487/000023418/,Monster's Ball,Halle Berry
1954/3/1,74th,Best Director,http://www.nndb.com/people/365/000025290/,A Beautiful Mind,Ron Howard
1973/4/14,75th,Best Actor,http://www.nndb.com/people/112/000026034/,The Pianist,Adrien Brody
1960/8/17,76th,Best Actor,http://www.nndb.com/people/331/000025256/,Mystic River,Sean Penn
1967/6/20,75th,Best Actress,http://www.nndb.com/people/917/000022851/,The Hours,Nicole Kidman
1933/8/18,75th,Best Director,http://www.nndb.com/people/541/000023472/,The Pianist,Roman Polanski
1975/8/7,76th,Best Actress,http://www.nndb.com/people/146/000026068/,Monster,Charlize Theron
1961/10/31,76th,Best Director,http://www.nndb.com/people/848/000025773/,The Lord of the Rings: Return of the King,Peter Jackson
1967/12/13,77th,Best Actor,http://www.nndb.com/people/113/000026035/,Ray,Jamie Foxx
1974/7/30,77th,Best Actress,http://www.nndb.com/people/333/000026255/,Million Dollar Baby,Hilary Swank
1930/5/31,77th,Best Director,http://www.nndb.com/people/849/000022783/,Million Dollar Baby,Clint Eastwood
1967/7/23,78th,Best Actor,http://www.nndb.com/people/409/000027328/,Capote,Philip Seymour Hoffman
1976/3/22,78th,Best Actress,http://www.nndb.com/people/813/000022747/,Walk the Line,Reese Witherspoon
1954/10/23,78th,Best Director,http://www.nndb.com/people/394/000025319/,Brokeback Mountain,Ang Lee
1961/7/15,79th,Best Actor,http://www.nndb.com/people/833/000025758/,The Last King of Scotland,Forest Whitaker
1945/7/26,79th,Best Actress,http://www.nndb.com/people/907/000044775/,The Queen,Helen Mirren
1942/11/17,79th,Best Director,http://www.nndb.com/people/678/000022612/,The Departed,Martin Scorsese
1957/4/29,80th,Best Actor,http://www.nndb.com/people/788/000022722/,There Will Be Blood,Daniel Day-Lewis
1975/9/30,80th,Best Actress,http://www.nndb.com/people/723/000136315/,The Passionate Life of Edith Piaf,Marion Cotillard
1954/11/29,80th,Best Director,http://www.nndb.com/people/399/000025324/,No Country for Old Men,Joel Coen
1957/9/21,80th,Best Director,http://www.nndb.com/people/400/000025325/,No Country for Old Men,Ethan Coen
1960/8/17,81st,Best Actor,http://www.nndb.com/people/331/000025256/,Milk,Sean Penn
1975/10/5,81st,Best Actress,http://www.nndb.com/people/582/000023513/,The Reader,Kate Winslet
1956/10/20,81st,Best Director,http://www.nndb.com/people/887/000044755/,Slumdog Millionaire,Danny Boyle
1951/11/27,82nd,Best Director,http://www.nndb.com/people/837/000079600/,The Hurt Locker,Kathryn Bigelow
1949/12/4,82nd,Best Actor,http://www.nndb.com/people/779/000022713/,Crazy Heart,Jeff Bridges
1964/7/26,82nd,Best Actress,http://www.nndb.com/people/601/000023532/,The Blind Side,Sandra Bullock
1960/9/10,83rd,Best Actor,http://www.nndb.com/people/813/000043684/,The King's Speech,Colin Firth
1981/6/9,83rd,Best Actress,http://www.nndb.com/people/040/000022971/,Black Swan,Natalie Portman
1972/10/5,83rd,Best Director,http://www.nndb.com/people/093/000268286/,The King's Speech,Tom Hooper
1972/6/19,84th,Best Actor,http://www.nndb.com/people/303/000281457/,The Artist,Jean Dujardin
1949/6/22,84th,Best Actress,http://www.nndb.com/people/001/000024926/,The Iron Lady,Meryl Streep
1967/3/29,84th,Best Director,http://www.nndb.com/people/302/000281456/,The Artist,Michel Hazanavicius
1957/4/29,85th,Best Actor,http://www.nndb.com/people/788/000022722/,Lincoln,Daniel Day-Lewis
1990/8/15,85th,Best Actress,http://www.nndb.com/people/597/000272778/,Silver Linings Playbook,Jennifer Lawrence
1954/10/23,85th,Best Director,http://www.nndb.com/people/394/000025319/,Life of Pi,Ang Lee
1969/11/4,86th,Best Actor,http://www.nndb.com/people/583/000023514/,Dallas Buyers Club,Matthew McConaughey
1969/5/14,86th,Best Actress,http://www.nndb.com/people/222/000026144/,Blue Jasmine,Cate Blanchett
1961/11/28,86th,Best Director,https://www.nndb.com/people/179/000160696/,Gravity,Alfonso Cuarón
1982/1/6,87th,Best Actor,https://www.nndb.com/people/467/000269657/,The Theory of Everything ,Eddie Redmayne 
1960/12/3,87th,Best Actress,https://www.nndb.com/people/670/000023601/,Still Alice,Julianne Moore 
1963/8/15,87th,Best Director,https://www.nndb.com/people/940/000366839/,Birdman,Alejandro G. Iñárritu
1974/11/11,88th,Best Actor,https://www.nndb.com/people/581/000023512/,The Revenant,Leonardo DiCaprio
1989/10/1,88th,Best Actress,https://www.nndb.com/people/625/000162139/,Room,Brie Larson
1963/8/15,88th,Best Director,https://www.nndb.com/people/940/000366839/,The Revenant,Alejandro G. Iñárritu 
1975/8/12,89th,Best Actor,https://www.nndb.com/people/339/000026261/,Manchester by the Sea,Casey Affleck 
1988/11/6,89th,Best Actress,https://www.nndb.com/people/665/000268858/,La La Land,Emma Stone
1985/1/19,89th,Best Director,https://www.nndb.com/people/096/000402884/,La La Land,Damien Chazelle 
1958/3/21,90th,Best Actor,https://www.nndb.com/people/550/000022484/,Darkest Hour,Gary Oldman 
