birthdate,ceremony_number,award,biourl,movie,person,Zodiac Sign
1884-07-23,1st,Best Actor,http://www.nndb.com/people/738/000063549/,The Last Command,Emil Jannings,Leo
1906-10-06,1st,Best Actress,http://www.nndb.com/people/129/000043000/,7th Heaven,Janet Gaynor,Libra
1889-03-29,2nd,Best Actor,http://www.nndb.com/people/739/000063550/,In Old Arizona,Warner Baxter,Aries
1868-04-10,3rd,Best Actor,http://www.nndb.com/people/740/000063551/,Desraeli,George Arliss,Aries
1892-04-08,2nd,Best Actress,http://www.nndb.com/people/683/000042557/,Coquette,Mary Pickford,Aries
1902-08-10,3rd,Best Actress,http://www.nndb.com/people/813/000063624/,The Divorcee,Norma Shearer,Leo
1878-04-28,4th,Best Actor,http://www.nndb.com/people/741/000043612/,A Free Soul,Lionel Barrymore,Taurus
1868-11-02,4th,Best Actress,http://www.nndb.com/people/814/000063625/,Min and Bill,Marie Dressler,Scorpio
1885-04-01,5th,Best Actor,http://www.nndb.com/people/976/000043847/,The Champ,Wallace Beery,Aries
1900-10-10,5th,Best Actress,http://www.nndb.com/people/908/000031815/,The Sin of Madelon Claudet,Helen Hayes,Libra
1899-07-01,6th,Best Actor,http://www.nndb.com/people/884/000042758/,The Private Life of Henry VIII,Charles Laughton,Cancer
1907-05-12,6th,Best Actress,http://www.nndb.com/people/775/000023706/,Morning Glory,Katharine Hepburn,Taurus
1901-02-01,7th,Best Actor,http://www.nndb.com/people/156/000027075/,It Happened One Night,Clark Gable,Aquarius
1903-09-13,7th,Best Actress,http://www.nndb.com/people/935/000043806/,It Happened One Night,Claudette Colbert,Virgo
1883-12-11,8th,Best Actor,http://www.nndb.com/people/452/000047311/,The Informer,Victor McLaglen,Sagittarius
1908-04-05,8th,Best Actress,http://www.nndb.com/people/457/000026379/,Dangerous,Bette Davis,Aries
1895-09-22,9th,Best Actor,http://www.nndb.com/people/741/000063552/,The Story of Louis Pasteur,Paul Muni,Virgo
1910-01-12,9th,Best Actress,http://www.nndb.com/people/796/000030706/,The Great Ziegfeld,Luise Rainer,Capricorn
